name,nDCG@10,RR@10,AP,SERP-MS@10
TF-IDF,0.3933340632690718,0.5803571428571428,0.5542094589363366,0.01818181818181821
BM25,0.3578479431789574,0.5625,0.5592497732986533,-0.019999999999999997
BERT,0.4157467952318117,0.6261904761904762,0.5167197964690943,-2.6436363636363636
MonoT5,0.35119499832644846,0.5875,0.5175211752219054,-0.043636363636363626
BM25+BERT(alpha = 0.5),0.37911090154168103,0.5729166666666667,0.5607903333135655,-0.6290909090909091
